CDIV	ERCT	FRCC	MROE	MROW	NEWE	NYCW	NYLI	NYUP	RFCE	RFCM	RFCW	SRDA	SRGW	SRSE	SRCE	SRVC	SPNO	SPSO	AZNM	CAMX	NWPP	RMPA
1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0.019928757	0.24651397	0.071508455	0.156762921	0.49695588	0	0.008330017	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.057363374	0.019233867	0	0	0	0	0.002147524	0.234161846	0.620085033	0	0.067008356	0	0	0	0	0	0	0	0	0
4	0	0	0.005423691	0.559916987	0	0	0	0	0	0	0	0	0.170251444	0	0	0	0.252741403	0	0	0	0	0.011666475
5	0	0.311705731	0	0	0	0	0	0	0.115115354	0	0.048827132	0	0	0.189983553	0.029217576	0.305150655	0	0	0	0	0	0
6	0	0.003990336	0.004448839	0.022723504	0	0	0	0	0.000484451	0	0.066046119	0	0.035476871	0.346422431	0.512403026	0	0	0	0	0	0.008004423	0
7	0.595428972	0	0.003592187	0.001605682	0	0	0	0	0.000265218	0	0.021016296	0.146136197	0	0	0	0.014330664	0.018793879	0.169042641	0.020307907	0	0.00915636	0.000323997
8	0	0	0	0.001445008	0	0	0	0	0.023267638	0	0.006933253	0	0	0	0	0	0	0.009176813	0.367365809	0	0.402373357	0.189438121
9	0	0	0	0	0	0	0	0	0	0	0	0.000236897	0	0	0.00025977	0	0	0	0.051716822	0.736935781	0.210850731	0
																						
